"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportMood","reportRating","roadType","showFacebookPic","speed","street","subtype","type","uuid","wazeData","reportBy","reportDescription","reportByActiveGroupIcon","reportByActiveGroupName","provider","providerId","nearBy","imageId","imageUrl"
"alert-659326049/76d7ad0d-78bd-3a94-b49b-dc13cda5503a","Curitiba","[]",0,"BR","alert-659326049/76d7ad0d-78bd-3a94-b49b-dc13cda5503a",false,false,"{""x"":-49.270127,""y"":-25.424335}",0,0,0,0,1550355869253,6,0,0,,false,0,"Av. Cândido de Abreu","ROAD_CLOSED_EVENT","ROAD_CLOSED","76d7ad0d-78bd-3a94-b49b-dc13cda5503a","world,-49.270127,-25.424335,76d7ad0d-78bd-3a94-b49b-dc13cda5503a,659326049","LPMarti","Santander Track&Field Run",,,,,,,
"alert-654186542/cf7f772c-ce07-31e3-9df0-807a41b5602c","Curitiba","[]",0,"BR","alert-654186542/cf7f772c-ce07-31e3-9df0-807a41b5602c",false,false,"{""x"":-49.270554,""y"":-25.426057}",0,0,0,0,1550355880708,6,0,0,,false,0,"R. Barão do Serro Azul","ROAD_CLOSED_EVENT","ROAD_CLOSED","cf7f772c-ce07-31e3-9df0-807a41b5602c","world,-49.270554,-25.426057,cf7f772c-ce07-31e3-9df0-807a41b5602c,654186542","LPMarti","Santander Track&Field Run",,,,,,,
"alert-664886606/03bb95c6-94eb-3940-9f02-1c4c9b80ee84","Curitiba","[]",0,"BR","alert-664886606/03bb95c6-94eb-3940-9f02-1c4c9b80ee84",false,false,"{""x"":-49.271793,""y"":-25.426792}",0,0,0,0,1550355882249,6,0,0,,false,0,"R. Mateus Leme","ROAD_CLOSED_EVENT","ROAD_CLOSED","03bb95c6-94eb-3940-9f02-1c4c9b80ee84","world,-49.271793,-25.426792,03bb95c6-94eb-3940-9f02-1c4c9b80ee84,664886606","LPMarti","Santander Track&Field Run",,,,,,,
"alert-657286670/295837e9-ab89-3255-a079-f3531fdb384c","Curitiba","[]",0,"BR","alert-657286670/295837e9-ab89-3255-a079-f3531fdb384c",false,false,"{""x"":-49.271175,""y"":-25.424087}",0,0,0,0,1550355883976,6,0,0,,false,0,"R. Mateus Leme","ROAD_CLOSED_EVENT","ROAD_CLOSED","295837e9-ab89-3255-a079-f3531fdb384c","world,-49.271175,-25.424087,295837e9-ab89-3255-a079-f3531fdb384c,657286670","LPMarti","Santander Track&Field Run",,,,,,,
"alert-652846713/fc75b731-be9c-3d64-b1df-d33c8c28154a","Curitiba","[]",0,"BR","alert-652846713/fc75b731-be9c-3d64-b1df-d33c8c28154a",false,false,"{""x"":-49.269749,""y"":-25.42269}",0,0,0,0,1550355884913,6,0,0,,false,0,"Av. Cândido de Abreu","ROAD_CLOSED_EVENT","ROAD_CLOSED","fc75b731-be9c-3d64-b1df-d33c8c28154a","world,-49.269749,-25.42269,fc75b731-be9c-3d64-b1df-d33c8c28154a,652846713","LPMarti","Santander Track&Field Run",,,,,,,
"alert-652846793/b490e4ad-10a7-3d06-aef9-2b17dc28651a","Curitiba","[]",0,"BR","alert-652846793/b490e4ad-10a7-3d06-aef9-2b17dc28651a",false,false,"{""x"":-49.26992,""y"":-25.423446}",0,0,0,0,1550355886730,6,0,0,,false,0,"Av. Cândido de Abreu","ROAD_CLOSED_EVENT","ROAD_CLOSED","b490e4ad-10a7-3d06-aef9-2b17dc28651a","world,-49.26992,-25.423446,b490e4ad-10a7-3d06-aef9-2b17dc28651a,652846793","LPMarti","Santander Track&Field Run",,,,,,,
"alert-662426857/eb4fbe4c-b40c-30d8-b4cc-d77419b333af","Curitiba","[]",0,"BR","alert-662426857/eb4fbe4c-b40c-30d8-b4cc-d77419b333af",false,false,"{""x"":-49.27002,""y"":-25.423852}",0,0,0,0,1550355888090,6,0,0,,false,0,"Av. Cândido de Abreu","ROAD_CLOSED_EVENT","ROAD_CLOSED","eb4fbe4c-b40c-30d8-b4cc-d77419b333af","world,-49.27002,-25.423852,eb4fbe4c-b40c-30d8-b4cc-d77419b333af,662426857","LPMarti","Santander Track&Field Run",,,,,,,
"alert-659325619/9aab0c44-6103-31a7-b81c-cbdb68f8c2e3","Curitiba","[]",0,"BR","alert-659325619/9aab0c44-6103-31a7-b81c-cbdb68f8c2e3",false,false,"{""x"":-49.268496,""y"":-25.417383}",0,0,0,0,1550355859735,6,0,0,,false,0,"Av. Cândido de Abreu","ROAD_CLOSED_EVENT","ROAD_CLOSED","9aab0c44-6103-31a7-b81c-cbdb68f8c2e3","world,-49.268496,-25.417383,9aab0c44-6103-31a7-b81c-cbdb68f8c2e3,659325619","LPMarti","Santander Track&Field Run",,,,,,,
"alert-668445624/9e2152d8-8d46-371b-964a-af0f62ef68e5","Curitiba","[]",0,"BR","alert-668445624/9e2152d8-8d46-371b-964a-af0f62ef68e5",false,false,"{""x"":-49.271214,""y"":-25.418603}",0,0,0,0,1550355859791,6,0,0,,false,0,"R. Mateus Leme","ROAD_CLOSED_EVENT","ROAD_CLOSED","9e2152d8-8d46-371b-964a-af0f62ef68e5","world,-49.271214,-25.418603,9e2152d8-8d46-371b-964a-af0f62ef68e5,668445624","LPMarti","Santander Track&Field Run",,,,,,,
"alert-664885356/1481a682-288e-32b0-bc44-bfacfea9d966","Curitiba","[]",0,"BR","alert-664885356/1481a682-288e-32b0-bc44-bfacfea9d966",false,false,"{""x"":-49.270888,""y"":-25.42159}",0,0,0,0,1550355853866,6,0,0,,false,0,"R. Mateus Leme","ROAD_CLOSED_EVENT","ROAD_CLOSED","1481a682-288e-32b0-bc44-bfacfea9d966","world,-49.270888,-25.42159,1481a682-288e-32b0-bc44-bfacfea9d966,664885356","LPMarti","Santander Track&Field Run",,,,,,,
