"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportBy","reportMood","reportRating","roadType","showFacebookPic","speed","subtype","type","uuid","wazeData","street","provider","providerId","reportDescription","nearBy","additionalInfo","reportByActiveGroupIcon","reportByActiveGroupName","imageId","imageUrl"
"alert-659990288/7bd37517-b622-3105-92b0-c4a34a798b0d","Recife","[{""reportBy"":"""",""reportMillis"":1550414867222,""isThumbsUp"":true}]",0,"BR","alert-659990288/7bd37517-b622-3105-92b0-c4a34a798b0d",false,false,"{""x"":-34.893787,""y"":-8.004642}",138,0,0,1,1550413959367,6,"ThiagoFonsecaPeaceful2",1,1,2,false,0,"HAZARD_ON_SHOULDER","HAZARD","7bd37517-b622-3105-92b0-c4a34a798b0d","world,-34.893787,-8.004642,7bd37517-b622-3105-92b0-c4a34a798b0d,659990288","Av. Beberibe",,,,,,,,,
"alert-652991342/6d155722-7f39-316e-af6d-5cf64000b056","Jaboatão dos Guararapes","[]",0,"BR","alert-652991342/6d155722-7f39-316e-af6d-5cf64000b056",true,false,"{""x"":-34.981289,""y"":-8.159636}",260,0,0,0,1550414042047,6,"VassimonJr",59,3,7,false,0,"POLICE_VISIBLE","POLICE","6d155722-7f39-316e-af6d-5cf64000b056","world,-34.981289,-8.159636,6d155722-7f39-316e-af6d-5cf64000b056,652991342","PE-017 Rod. Empresário João Santos Filho",,,,,,,,,
"alert-660250138/f8d39c25-e6f4-3484-9cbf-bcc6b6715aab","Recife","[]",0,"BR","alert-660250138/f8d39c25-e6f4-3484-9cbf-bcc6b6715aab",false,false,"{""x"":-34.943539,""y"":-8.080562}",180,0,0,0,1550414332572,5,,1,2,20,false,0,"POLICE_VISIBLE","POLICE","f8d39c25-e6f4-3484-9cbf-bcc6b6715aab","world,-34.943539,-8.080562,f8d39c25-e6f4-3484-9cbf-bcc6b6715aab,660250138",,,,,,,,,,
"alert-669754384/5ce06170-0322-3c6f-90fe-a03109cb6f1a","Recife","[]",0,"BR","alert-669754384/5ce06170-0322-3c6f-90fe-a03109cb6f1a",false,false,"{""x"":-34.91005,""y"":-8.045077}",81,0,0,0,1550414369849,5,,49,2,1,false,0,"JAM_STAND_STILL_TRAFFIC","JAM","5ce06170-0322-3c6f-90fe-a03109cb6f1a","world,-34.91005,-8.045077,5ce06170-0322-3c6f-90fe-a03109cb6f1a,669754384","R. José de Holanda",,,,,,,,,
"alert-661849307/769641ab-c747-3322-b901-78fa2fc5f184","Recife","[]",0,"BR","alert-661849307/769641ab-c747-3322-b901-78fa2fc5f184",false,false,"{""x"":-34.976006,""y"":-8.035951}",257,0,0,0,1550414242891,5,,34,0,1,false,0,"","POLICE","769641ab-c747-3322-b901-78fa2fc5f184","world,-34.976006,-8.035951,769641ab-c747-3322-b901-78fa2fc5f184,661849307","R. Américo Virgílio",,,,,,,,,
"alert-653310452/240c9946-84c7-3254-a3e6-8633f91d5664","Recife","[]",0,"BR","alert-653310452/240c9946-84c7-3254-a3e6-8633f91d5664",false,false,"{""x"":-34.905936,""y"":-8.037225}",148,0,0,0,1550414442997,5,,1,1,2,false,0,"JAM_STAND_STILL_TRAFFIC","JAM","240c9946-84c7-3254-a3e6-8633f91d5664","world,-34.905936,-8.037225,240c9946-84c7-3254-a3e6-8633f91d5664,653310452","Av. Rui Barbosa",,,,,,,,,
"alert-658530149/4a67be19-e6a6-3b4b-aa5d-15a0df26669d","Olinda","[{""reportBy"":"""",""reportMillis"":1550414441592,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550414599163,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550415085219,""isThumbsUp"":true},{""reportBy"":""CamillaAnjos26"",""reportMillis"":1550415424193,""isThumbsUp"":true}]",2,"BR","alert-658530149/4a67be19-e6a6-3b4b-aa5d-15a0df26669d",false,false,"{""x"":-34.839528,""y"":-7.996455}",187,0,0,4,1550414258057,9,"WingmanPE",1,4,2,false,0,"HAZARD_ON_ROAD_CAR_STOPPED","HAZARD","4a67be19-e6a6-3b4b-aa5d-15a0df26669d","world,-34.839528,-7.996455,4a67be19-e6a6-3b4b-aa5d-15a0df26669d,658530149","Av. Pres. Getúlio Vargas",,,,,,,,,
"alert-656170900/f04216b2-faa1-360e-bcea-ce268d3f4123","Jaboatão dos Guararapes","[]",0,"BR","alert-656170900/f04216b2-faa1-360e-bcea-ce268d3f4123",false,false,"{""x"":-34.921324,""y"":-8.190946}",101,0,0,0,1550414745463,5,"D3to",40,2,2,false,0,"HAZARD_ON_SHOULDER_CAR_STOPPED","HAZARD","f04216b2-faa1-360e-bcea-ce268d3f4123","world,-34.921324,-8.190946,f04216b2-faa1-360e-bcea-ce268d3f4123,656170900","R. Dr. Aniceto Varejão",,,,,,,,,
"alert-642756930/109b7163-ae67-3183-8bea-827e38e956c7","Recife","[]",0,"BR","alert-642756930/109b7163-ae67-3183-8bea-827e38e956c7",false,false,"{""x"":-34.936851,""y"":-8.137298}",153,0,0,0,1550414708774,6,,0,0,,false,0,"POLICE_VISIBLE","POLICE","109b7163-ae67-3183-8bea-827e38e956c7","world,-34.936851,-8.137298,109b7163-ae67-3183-8bea-827e38e956c7,642756930","Av. Maria Irene",,,,,,,,,
"alert-654691981/5ad42d13-5970-3127-afe7-ca633d3734f6","Recife","[]",0,"BR","alert-654691981/5ad42d13-5970-3127-afe7-ca633d3734f6",false,false,"{""x"":-34.911768,""y"":-8.101389}",283,0,0,0,1550414739628,5,,34,0,1,false,0,"POLICE_VISIBLE","POLICE","5ad42d13-5970-3127-afe7-ca633d3734f6","world,-34.911768,-8.101389,5ad42d13-5970-3127-afe7-ca633d3734f6,654691981","R. Itália",,,,,,,,,
