"_id","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","nearBy","provider","providerId","pubMillis","reliability","reportBy","reportDescription","reportMood","reportRating","showFacebookPic","speed","subtype","type","uuid","wazeData","city","roadType","street","imageId","imageUrl","additionalInfo","reportByActiveGroupIcon","reportByActiveGroupName"
"alert-696497517/80bf4ce2-2337-30f8-a937-f4aa35cfa362","[{""reportBy"":""FelipeDu4rte"",""reportMillis"":1551022738770,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551023184535,""isThumbsUp"":true}]",0,"BR","alert-696497517/80bf4ce2-2337-30f8-a937-f4aa35cfa362",false,false,"{""x"":-34.855928,""y"":-7.985372}",1,0,0,2,,,,1551022312635,8,,,5,1,false,0,"POLICE_VISIBLE","POLICE","80bf4ce2-2337-30f8-a937-f4aa35cfa362","world,-34.855928,-7.985372,80bf4ce2-2337-30f8-a937-f4aa35cfa362,696497517","Olinda",,"R. Pref. Manuel Regueira",,,,,
"alert-691474950/e64c6b5d-bd9b-316a-81bc-50133de4f7f2","[]",0,"BR","alert-691474950/e64c6b5d-bd9b-316a-81bc-50133de4f7f2",false,false,"{""x"":-34.83873,""y"":-7.994142}",359,0,0,0,,,,1551022162532,5,"Aurivanbm",,8,2,false,0,"JAM_HEAVY_TRAFFIC","JAM","e64c6b5d-bd9b-316a-81bc-50133de4f7f2","world,-34.83873,-7.994142,e64c6b5d-bd9b-316a-81bc-50133de4f7f2,691474950","Olinda",2,"Av. Min. Marcos Freire",,,,,
"alert-690515141/9b6bc316-3cf7-3e41-91fa-197ec6bbc26c","[{""reportBy"":"""",""reportMillis"":1551022388847,""isThumbsUp"":false}]",0,"BR","alert-690515141/9b6bc316-3cf7-3e41-91fa-197ec6bbc26c",false,false,"{""x"":-34.910894,""y"":-8.033713}",34,1,0,0,,,,1551022381095,6,,,1,2,false,0,"JAM_STAND_STILL_TRAFFIC","JAM","9b6bc316-3cf7-3e41-91fa-197ec6bbc26c","world,-34.910894,-8.033713,9b6bc316-3cf7-3e41-91fa-197ec6bbc26c,690515141","Recife",2,"Av. 17 de Agosto",,,,,
"alert-689335121/1b46308e-527a-35fa-b28b-677949cc6e2d","[]",0,"BR","alert-689335121/1b46308e-527a-35fa-b28b-677949cc6e2d",false,false,"{""x"":-34.921423,""y"":-8.06146}",284,0,0,0,,,,1551022425569,5,"mpedulla",,0,3,false,0,"JAM_HEAVY_TRAFFIC","JAM","1b46308e-527a-35fa-b28b-677949cc6e2d","world,-34.921423,-8.06146,1b46308e-527a-35fa-b28b-677949cc6e2d,689335121","Recife",2,"Av. Eng. Abdias de Carvalho",,,,,
"alert-691615180/2689424b-a7ca-3ce6-b1c5-32ff7c6b3e37","[]",0,"BR","alert-691615180/2689424b-a7ca-3ce6-b1c5-32ff7c6b3e37",false,false,"{""x"":-34.895817,""y"":-8.05306}",34,0,0,0,,,,1551022498999,5,,,46,2,false,0,"JAM_MODERATE_TRAFFIC","JAM","2689424b-a7ca-3ce6-b1c5-32ff7c6b3e37","world,-34.895817,-8.05306,2689424b-a7ca-3ce6-b1c5-32ff7c6b3e37,691615180","Recife",1,"Av. Gov. Agamenon Magalhães - Pista Lateral",,,,,
"alert-699455196/13bbebfc-71cf-38d5-99ff-9e4b8c5f3086","[]",0,"BR","alert-699455196/13bbebfc-71cf-38d5-99ff-9e4b8c5f3086",false,false,"{""x"":-34.897091,""y"":-8.04632}",1,0,0,0,,,,1551022518370,5,"njab1",,1,3,false,0,"JAM_MODERATE_TRAFFIC","JAM","13bbebfc-71cf-38d5-99ff-9e4b8c5f3086","world,-34.897091,-8.04632,13bbebfc-71cf-38d5-99ff-9e4b8c5f3086,699455196","Recife",2,"Av. Cons. Rosa e Silva",,,,,
"alert-700135066/fef3ee04-5297-3977-8bb3-06abec7111fe","[]",0,"BR","alert-700135066/fef3ee04-5297-3977-8bb3-06abec7111fe",false,false,"{""x"":-34.96777,""y"":-8.013101}",62,0,0,0,,,,1551022457061,5,,,34,0,false,0,"JAM_STAND_STILL_TRAFFIC","JAM","fef3ee04-5297-3977-8bb3-06abec7111fe","world,-34.96777,-8.013101,fef3ee04-5297-3977-8bb3-06abec7111fe,700135066","Camaragibe",2,"Av. Samuel MacDowell",,,,,
"alert-701335085/2bdfa867-0294-33f1-a811-808358908ebb","[{""reportBy"":"""",""reportMillis"":1551024175354,""isThumbsUp"":true}]",0,"BR","alert-701335085/2bdfa867-0294-33f1-a811-808358908ebb",false,false,"{""x"":-34.967853,""y"":-8.013144}",243,0,0,1,,,,1551022536801,7,,,34,0,false,0,"POLICE_VISIBLE","POLICE","2bdfa867-0294-33f1-a811-808358908ebb","world,-34.967853,-8.013144,2bdfa867-0294-33f1-a811-808358908ebb,701335085","Camaragibe",2,"Av. Samuel MacDowell",,,,,
"alert-694295228/644b6870-877c-34f2-8d3e-8926eae01476","[{""reportBy"":"""",""reportMillis"":1551023253900,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551023257713,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551024009442,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551024048754,""isThumbsUp"":true},{""reportMillis"":1551024144002,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551024204630,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551024215861,""isThumbsUp"":true},{""reportBy"":""Alexlinsassis"",""reportMillis"":1551024238717,""isThumbsUp"":true},{""reportBy"":""AmandaAlvesPeaceful78"",""reportMillis"":1551024255043,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551024544245,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551024599372,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551024713568,""isThumbsUp"":true},{""reportBy"":""lucasvluz"",""reportMillis"":1551024724887,""text"":""lei seca?"",""isThumbsUp"":false},{""reportMillis"":1551024969657,""text"":""lei seca?"",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1551024978995,""isThumbsUp"":true},{""reportBy"":""gatseron"",""reportMillis"":1551025436000,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551025496816,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551025542495,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551025809527,""text"":""??"",""isThumbsUp"":false},{""reportMillis"":1551026445390,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551026931630,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551027127326,""text"":""Se beber, não dirija."",""isThumbsUp"":false}]",5,"BR","alert-694295228/644b6870-877c-34f2-8d3e-8926eae01476",false,false,"{""x"":-34.868649,""y"":-8.033199}",217,4,0,18,,,,1551022447360,10,,,10,3,false,0,"POLICE_VISIBLE","POLICE","644b6870-877c-34f2-8d3e-8926eae01476","world,-34.868649,-8.033199,644b6870-877c-34f2-8d3e-8926eae01476,694295228","Olinda",2,"Avenida Gov. Agamenon Magalhães",,,,,
"alert-699375125/b827c2e8-00df-3104-af2e-e60f8b8ca818","[]",0,"BR","alert-699375125/b827c2e8-00df-3104-af2e-e60f8b8ca818",false,false,"{""x"":-34.887392,""y"":-7.998787}",337,0,0,0,,,,1551022461909,5,,,49,1,false,0,"JAM_HEAVY_TRAFFIC","JAM","b827c2e8-00df-3104-af2e-e60f8b8ca818","world,-34.887392,-7.998787,b827c2e8-00df-3104-af2e-e60f8b8ca818,699375125","Olinda",1,"R. Dois de Fevereiro",,,,,
