"busCode","hasBusBunching","trips","percTrips"
"BE845","TRUE",8,0.117647058823529
"BE847","FALSE",46,0.978723404255319
"BE847","TRUE",1,0.0212765957446809
"BE848","FALSE",77,0.895348837209302
"BE848","TRUE",9,0.104651162790698
"BE849","FALSE",51,0.910714285714286
"BE849","TRUE",5,0.0892857142857143
"BL067","FALSE",33,0.970588235294118
"BL067","TRUE",1,0.0294117647058824
"BL069","FALSE",6,1
"BL070","FALSE",46,0.978723404255319
"BL070","TRUE",1,0.0212765957446809
"BL071","FALSE",32,1
"BL072","FALSE",64,0.941176470588235
"BL072","TRUE",4,0.0588235294117647
"BL074","FALSE",36,1
"BL300","FALSE",7,0.875
"BL300","TRUE",1,0.125
"BL301","FALSE",48,0.923076923076923
"BL301","TRUE",4,0.0769230769230769
"BL302","FALSE",85,0.988372093023256
"BL302","TRUE",1,0.0116279069767442
"BL303","FALSE",95,1
"BL304","FALSE",56,0.888888888888889
"BL304","TRUE",7,0.111111111111111
"BL305","FALSE",86,0.945054945054945
"BL305","TRUE",5,0.0549450549450549
"BL306","FALSE",76,0.987012987012987
"BL306","TRUE",1,0.012987012987013
"BL307","FALSE",108,0.990825688073395
"BL307","TRUE",1,0.00917431192660551
"BL308","FALSE",125,0.992063492063492
"BL308","TRUE",1,0.00793650793650794
"BL309","FALSE",55,0.948275862068966
"BL309","TRUE",3,0.0517241379310345
"BL310","FALSE",66,0.970588235294118
"BL310","TRUE",2,0.0294117647058824
"BL311","FALSE",11,1
"BL312","FALSE",31,0.96875
"BL312","TRUE",1,0.03125
"BL313","FALSE",113,0.982608695652174
"BL313","TRUE",2,0.0173913043478261
"BL314","FALSE",109,0.981981981981982
"BL314","TRUE",2,0.018018018018018
"BL315","FALSE",15,1
"BL316","FALSE",22,1
"BL317","FALSE",60,0.967741935483871
"BL317","TRUE",2,0.032258064516129
"BL318","FALSE",42,1
"BL319","FALSE",88,0.977777777777778
"BL319","TRUE",2,0.0222222222222222
"BL320","FALSE",101,0.980582524271845
"BL320","TRUE",2,0.0194174757281553
"BL321","FALSE",47,1
"BL322","FALSE",78,0.928571428571429
"BL322","TRUE",6,0.0714285714285714
"BL323","FALSE",93,0.98936170212766
"BL323","TRUE",1,0.0106382978723404
"BL324","FALSE",95,0.979381443298969
"BL324","TRUE",2,0.0206185567010309
"BL325","FALSE",167,0.976608187134503
"BL325","TRUE",4,0.0233918128654971
"BL326","FALSE",107,1
"BL327","FALSE",93,0.98936170212766
"BL327","TRUE",1,0.0106382978723404
"BL328","FALSE",4,1
"BL329","FALSE",145,0.986394557823129
"BL329","TRUE",2,0.0136054421768707
"BL330","FALSE",69,1
"BL331","FALSE",36,0.947368421052632
"BL331","TRUE",2,0.0526315789473684
"BL332","FALSE",31,0.96875
"BL332","TRUE",1,0.03125
"BL333","FALSE",79,0.975308641975309
"BL333","TRUE",2,0.0246913580246914
"BL334","FALSE",131,0.992424242424242
"BL334","TRUE",1,0.00757575757575758
"BL335","FALSE",46,1
"BL336","FALSE",138,1
"BL337","FALSE",69,0.985714285714286
"BL337","TRUE",1,0.0142857142857143
"BL338","FALSE",131,0.977611940298508
"BL338","TRUE",3,0.0223880597014925
"BL339","FALSE",77,1
"BL492","FALSE",28,0.96551724137931
"BL492","TRUE",1,0.0344827586206897
"BL493","FALSE",71,0.959459459459459
"BL493","TRUE",3,0.0405405405405405
"BL495","FALSE",103,1
"BL496","FALSE",43,0.977272727272727
"BL496","TRUE",1,0.0227272727272727
"BL497","FALSE",44,0.936170212765957
"BL497","TRUE",3,0.0638297872340425
"BL498","FALSE",44,0.916666666666667
"BL498","TRUE",4,0.0833333333333333
"BL499","FALSE",53,0.929824561403509
"BL499","TRUE",4,0.0701754385964912
"BL684","FALSE",70,0.985915492957746
"BL684","TRUE",1,0.0140845070422535
"BL685","FALSE",83,0.988095238095238
"BL685","TRUE",1,0.0119047619047619
"BL686","FALSE",40,1
"BL687","FALSE",31,0.939393939393939
"BL687","TRUE",2,0.0606060606060606
"BL693","FALSE",60,1
"BL694","FALSE",55,1
"BL695","FALSE",70,0.985915492957746
"BL695","TRUE",1,0.0140845070422535
"BL696","FALSE",58,1
"BL697","FALSE",64,0.984615384615385
"BL697","TRUE",1,0.0153846153846154
"BL698","FALSE",77,0.974683544303797
"BL698","TRUE",2,0.0253164556962025
"BL699","FALSE",84,1
"BN402","FALSE",413,1
"BN403","FALSE",193,1
"BN404","FALSE",95,1
"BN405","FALSE",35,1
"BN406","FALSE",225,1
"BN407","FALSE",337,1
"BN408","FALSE",256,1
"BN409","FALSE",475,1
"BN410","FALSE",659,1
"BN411","FALSE",390,1
"BN601","FALSE",276,1
"BN602","FALSE",214,1
"BN603","FALSE",300,1
"BN604","FALSE",377,1
"BN605","FALSE",236,1
"BN606","FALSE",273,1
"BN607","FALSE",183,1
"BN608","FALSE",261,1
"BN609","FALSE",268,1
"BN610","FALSE",349,1
"BN611","FALSE",242,1
"BN612","FALSE",138,1
"BN613","FALSE",221,1
"BN614","FALSE",284,1
"BN615","FALSE",227,1
"BN616","FALSE",175,1
"BN617","FALSE",158,1
"BN618","FALSE",292,1
"BN619","FALSE",208,1
"BN620","FALSE",184,1
"BN621","FALSE",193,1
"BN622","FALSE",188,1
"BN623","FALSE",274,0.996363636363636
"BN623","TRUE",1,0.00363636363636364
"BN624","FALSE",275,1
"BN625","FALSE",210,1
"BN626","FALSE",170,1
"BN627","FALSE",237,1
"BN628","FALSE",133,1
"BN629","FALSE",177,0.99438202247191
"BN629","TRUE",1,0.00561797752808989
"BN997","FALSE",323,1
"BN998","FALSE",413,1
"BN999","FALSE",126,1
"BR107","FALSE",109,1
"BR108","FALSE",40,0.952380952380952
"BR108","TRUE",2,0.0476190476190476
"BR410","FALSE",26,0.928571428571429
"BR410","TRUE",2,0.0714285714285714
"CA001","FALSE",338,0.997050147492625
"CA001","TRUE",1,0.00294985250737463
"CA010","FALSE",158,1
"CA011","FALSE",84,0.96551724137931
"CA011","TRUE",3,0.0344827586206897
"CA012","FALSE",98,0.98989898989899
"CA012","TRUE",1,0.0101010101010101
"CA300","FALSE",48,1
"CA600","FALSE",108,0.864
"CA600","TRUE",17,0.136
"CA601","FALSE",41,0.82
"CA601","TRUE",9,0.18
"CA602","FALSE",115,0.942622950819672
"CA602","TRUE",7,0.0573770491803279
"CA603","FALSE",74,0.948717948717949
"CA603","TRUE",4,0.0512820512820513
"CB600","FALSE",91,0.968085106382979
"CB600","TRUE",3,0.0319148936170213
"CB601","FALSE",80,0.975609756097561
"CB601","TRUE",2,0.024390243902439
"CB602","FALSE",62,0.984126984126984
"CB602","TRUE",1,0.0158730158730159
"CB603","FALSE",61,0.938461538461538
"CB603","TRUE",4,0.0615384615384615
"CB604","FALSE",92,1
"CB697","FALSE",78,1
"CC170","FALSE",136,0.964539007092199
"CC170","TRUE",5,0.0354609929078014
"CC171","FALSE",163,0.981927710843373
"CC171","TRUE",3,0.0180722891566265
"CC172","FALSE",141,0.986013986013986
"CC172","TRUE",2,0.013986013986014
"CC191","FALSE",219,1
"CC192","FALSE",247,0.988
"CC192","TRUE",3,0.012
"CC193","FALSE",223,0.986725663716814
"CC193","TRUE",3,0.0132743362831858
"CC194","FALSE",228,0.995633187772926
"CC194","TRUE",1,0.00436681222707424
"CC195","FALSE",321,0.993808049535604
"CC195","TRUE",2,0.00619195046439629
"CC196","FALSE",200,0.995024875621891
"CC196","TRUE",1,0.00497512437810945
"CC197","FALSE",298,0.996655518394649
"CC197","TRUE",1,0.00334448160535117
"CC297","FALSE",128,0.977099236641221
"CC297","TRUE",3,0.0229007633587786
"CC298","FALSE",120,0.991735537190083
"CC298","TRUE",1,0.00826446280991736
"CC300","FALSE",203,0.980676328502415
"CC300","TRUE",4,0.0193236714975845
"CC301","FALSE",207,0.985714285714286
"CC301","TRUE",3,0.0142857142857143
"CC302","FALSE",63,0.984375
"CC302","TRUE",1,0.015625
"CL038","FALSE",82,1
"CL039","FALSE",12,1
"CL300","FALSE",158,0.981366459627329
"CL300","TRUE",3,0.0186335403726708
"CL301","FALSE",67,1
"CL302","FALSE",106,0.981481481481482
"CL302","TRUE",2,0.0185185185185185
"CL303","FALSE",114,0.991304347826087
"CL303","TRUE",1,0.00869565217391304
"CL304","FALSE",85,0.988372093023256
"CL304","TRUE",1,0.0116279069767442
"CL306","FALSE",170,1
"CL499","FALSE",14,1
"CL698","FALSE",7,1
"CL699","FALSE",63,1
"CR109","FALSE",35,0.945945945945946
"CR109","TRUE",2,0.0540540540540541
"CR804","FALSE",74,0.973684210526316
"CR804","TRUE",2,0.0263157894736842
"DA009","FALSE",187,1
"DA010","FALSE",217,1
"DA011","FALSE",470,1
"DA012","FALSE",521,1
"DA013","FALSE",430,1
"DA014","FALSE",235,1
"DA015","FALSE",490,0.993914807302231
"DA015","TRUE",3,0.00608519269776876
"DA016","FALSE",169,1
"DA019","FALSE",335,0.982404692082111
"DA019","TRUE",6,0.0175953079178886
"DA020","FALSE",211,0.995283018867924
"DA020","TRUE",1,0.00471698113207547
"DA022","FALSE",332,1
"DA023","FALSE",817,1
"DA027","FALSE",356,1
"DA029","FALSE",16,0.941176470588235
"DA029","TRUE",1,0.0588235294117647
"DA032","FALSE",516,0.994219653179191
"DA032","TRUE",3,0.00578034682080925
"DA033","FALSE",346,0.974647887323944
"DA033","TRUE",9,0.0253521126760563
"DA300","FALSE",447,0.991130820399113
"DA300","TRUE",4,0.00886917960088692
"DA850","FALSE",10,1
"DB023","FALSE",87,0.988636363636364
"DB023","TRUE",1,0.0113636363636364
"DB025","FALSE",71,1
"DB300","FALSE",97,1
"DC081","FALSE",90,0.978260869565217
"DC081","TRUE",2,0.0217391304347826
"DC082","FALSE",173,1
"DC083","FALSE",127,0.9921875
"DC083","TRUE",1,0.0078125
"DC084","FALSE",139,0.992857142857143
"DC084","TRUE",1,0.00714285714285714
"DC085","FALSE",269,1
"DC086","FALSE",168,1
"DC087","FALSE",219,0.995454545454545
"DC087","TRUE",1,0.00454545454545455
"DC088","FALSE",178,1
"DC089","FALSE",199,0.995
"DC089","TRUE",1,0.005
"DC090","FALSE",246,0.995951417004049
"DC090","TRUE",1,0.00404858299595142
"DC091","FALSE",252,0.992125984251969
"DC091","TRUE",2,0.0078740157480315
"DC092","FALSE",233,1
"DC093","FALSE",250,0.99601593625498
"DC093","TRUE",1,0.00398406374501992
"DC292","FALSE",251,1
"DC293","FALSE",231,1
"DC294","FALSE",262,1
"DC295","FALSE",216,1
"DC296","FALSE",130,1
"DC297","FALSE",139,0.985815602836879
"DC297","TRUE",2,0.0141843971631206
"DC298","FALSE",214,1
"DC850","FALSE",226,1
"DC851","FALSE",97,1
"DC852","FALSE",218,1
"DC853","FALSE",162,1
"DC854","FALSE",101,1
"DC855","FALSE",187,1
"DC983","FALSE",177,1
"DE700","FALSE",106,0.963636363636364
