"route","hasBusBunching","trips","percTrips"
"913","FALSE",871,1
"916","FALSE",676,0.991202346041056
"916","TRUE",6,0.00879765395894428
"917","FALSE",934,1
"918","FALSE",798,1
"924","FALSE",1032,0.906057945566286
"924","TRUE",107,0.0939420544337138
"965","FALSE",1061,0.973394495412844
"965","TRUE",29,0.026605504587156
"967","FALSE",810,0.992647058823529
"967","TRUE",6,0.00735294117647059
"972","FALSE",1006,0.943714821763602
"972","TRUE",60,0.0562851782363977
"Z03","FALSE",17,1
